identifier_Id,lot_lotnum,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_coolingtype,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
329414,,5.76,250906,NO POOL,,TABLE MOUNTAIN RANCHES,117,1442 GILCHRIST RD,CHEYENNE,9061,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1976,10,,FORCED AIR,1420,3320,1420,1420,LIVING SQFT,1420,2,2.0,1420.0,,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",480.0,2.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,LOW,CONVENTIONAL HOUSE,0,Resale,259462.0,182.72
336045,6,0.1822314,7938,NO POOL,7.0,FRONTIER GARDENS,150,4756 MORAN AVE,CHEYENNE,5219,C036,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1964,10,,FORCED AIR,960,2208,960,960,LIVING SQFT,960,2,2.0,960.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,Mixed,1008.0,4.0,Mixed,RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,231238.0,240.87
336046,,11.33,493535,SPA/HOT TUB (ONLY),,NORTH COUNTRY,117,1767 POWDERHOUSE RD,CHEYENNE,8515,H056,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2001,10,,FORCED AIR,2338,6806,2338,2338,LIVING SQFT,2338,4,5.0,2324.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE/HIP,WOOD,"Garage, Attached",1264.0,5.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,388875.0,166.33
336047,15,0.2090909,9108,NO POOL,3.0,YELLOWSTONE ADDITION,150,132 DELL RANGE BLVD,CHEYENNE,4706,C043,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1965,10,,FORCED AIR,1380,2676,1380,1380,LIVING SQFT,1380,2,2.0,1044.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),"Garage, Attached",252.0,1.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,145500.0,105.43
344215,2,0.1625344,7080,NO POOL,22.0,MONTEREY HEIGHTS,150,6717 PASADENA RD,CHEYENNE,2807,C050,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1977,10,,FORCED AIR,1360,2260,1360,1360,LIVING SQFT,1360,2,3.0,440.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE/HIP,ALUMINUM/VINYL,"Garage, Built-in",460.0,2.0,"Garage, Built-in",SPLIT LEVEL,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,,
429875,2,0.0407484,1775,NO POOL,1.0,ATRIUM TOWNHOMES,150,1427 TRENT CT,CHEYENNE,4078,C046,Rooftop,16856031afb1b236f0d628bb802eac71,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,1985,10,,FORCED AIR,1296,2020,1296,1296,LIVING SQFT,1296,2,3.0,724.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Detached",528.0,2.0,"Garage, Detached",TOWNHOUSE,MISCELLANEOUS,MISCELLANEOUS,2,FAIR,MISCELLANEOUS,0,Resale,306783.0,236.72
463382,12,0.2240129,9758,NO POOL,24.0,BUFFALO RIDGE ESTATES,150,5200 SAGEBRUSH AVE,CHEYENNE,5348,C036,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1959,10,,FORCED AIR,939,1878,939,939,LIVING SQFT,939,1,1.0,939.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,HIP,BRICK/STONE (BRICK AND/OR STONE),,,,,RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,129413.0,137.82
476916,4,0.1706612,7434,NO POOL,21.0,MONTEREY HEIGHTS,150,6925 PASADENA RD,CHEYENNE,2805,C050,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,,FORCED AIR,962,2290,962,962,LIVING SQFT,962,2,2.0,816.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE/HIP,ALUMINUM/VINYL,"Garage, Attached",512.0,2.0,"Garage, Attached",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,178770.0,185.83
476918,,10.33,449975,NO POOL,,HORSEMAN HILLS,117,1971 MORGAN DR,CHEYENNE,9318,H059,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1980,10,,FORCED AIR,2000,3456,2000,2000,LIVING SQFT,2000,2,3.0,832.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",528.0,2.0,"Garage, Attached",,CONVENTIONAL HOUSE,HOUSE,2,FAIR,CONVENTIONAL HOUSE,0,Resale,629375.0,314.69
532964,,10.0,435600,NO POOL,,,117,8202 CHRISTENSEN RD,CHEYENNE,9582,R007,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1985,10,,BASEBOARD,1602,2252,1602,1602,LIVING SQFT,1602,2,2.0,,,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",650.0,2.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,233922.0,146.02
562213,,5.83,253955,,,GRANITE SPRINGS RETREAT,117,1372 KATE CAMERON DR,CHEYENNE,7403,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2003,10,,HOT WATER,2574,4344,2574,2574,LIVING SQFT,2574,4,5.0,1770.0,FINISHED,Y,YES,LOG,COMPOSITION SHINGLE,GABLE,LOGS,"Garage, Detached",988.0,4.0,"Garage, Detached",TLOG HOME,CONVENTIONAL HOUSE,HOUSE,2,GOOD,CONVENTIONAL HOUSE,0,Resale,470264.0,182.7
578088,25,0.1962121,8547,NO POOL,8.0,CREST RIDGE,150,3009 HOLLAND CT,CHEYENNE,4566,C048,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1996,10,YES,FORCED AIR,980,2454,980,980,LIVING SQFT,980,2,3.0,980.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Attached",494.0,2.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,322525.0,329.11
652173,5,4.57,199069,,4.0,CHERRY HILLS OF CHEYENNE,117,10664 CHERRY WOOD LN,CHEYENNE,9454,R012,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2003,10,YES,FORCED AIR,1820,4336,1820,1820,LIVING SQFT,1820,3,3.0,1820.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,Mixed,392.0,3.0,Mixed,RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,400000.0,219.78
670631,,11.8,514008,,,NORTH COUNTRY,117,2653 CHEVY RD,CHEYENNE,8508,H056,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2004,10,YES,FORCED AIR,2616,6198,2616,2616,LIVING SQFT,2616,4,5.0,2598.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,Mixed,1200.0,8.0,Mixed,RANCH,CONVENTIONAL HOUSE,HOUSE,1,GOOD,CONVENTIONAL HOUSE,0,Resale,,
670632,,2.36,102802,,,VOSSLER TRACTS,117,7115 WOODS RD,CHEYENNE,3157,R003,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1945,10,YES,FORCED AIR,2476,4936,2476,2476,LIVING SQFT,2476,3,3.0,2460.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Basement",1230.0,5.0,"Garage, Basement",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,181250.0,73.2
685272,17,0.0832415,3626,NO POOL,1.0,VIRGINIA MEADOWS,150,818 OAK VALLEY LN,CHEYENNE,4296,C045,Rooftop,16856031afb1b236f0d628bb802eac71,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,1997,10,YES,FORCED AIR,1584,2740,1584,1584,LIVING SQFT,1584,2,3.0,702.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Built-in",454.0,2.0,"Garage, Built-in",TOWNHOUSE,MISCELLANEOUS,MISCELLANEOUS,2,AVERAGE,MISCELLANEOUS,0,Resale,357078.0,225.43
731870,9,0.1948577,8488,NO POOL,12.0,CENTURY WEST,150,5110 TEN SLEEP DR,CHEYENNE,4939,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,,FORCED AIR,1382,2262,1382,1382,LIVING SQFT,1382,2,3.0,440.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Built-in",440.0,2.0,"Garage, Built-in",SPLIT LEVEL,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,212240.0,153.57
1672959,,7.13,310583,,,GRANITE SPRINGS RETREAT,117,1333 MAHOGANY CT,CHEYENNE,9053,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2004,10,,FORCED AIR,2288,2908,2288,2288,LIVING SQFT,2288,2,3.0,,,,,FRAME,COMPOSITION SHINGLE,SHED,ALUMINUM/VINYL,Mixed,1820.0,7.0,Mixed,,CONVENTIONAL HOUSE,HOUSE,3,AVERAGE,CONVENTIONAL HOUSE,0,Resale,295943.0,129.35
1672960,,5.98,260489,NO POOL,,GRANITE SPRINGS RETREAT,117,1364 KATE CAMERON DR,CHEYENNE,7403,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2000,10,,FORCED AIR,2084,3294,2084,2084,LIVING SQFT,2084,2,2.0,490.0,,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",720.0,3.0,"Garage, Attached",,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,613750.0,294.51
1672961,,5.48,238709,,,GRANITE SPRINGS RETREAT,117,1365 KATE CAMERON DR,CHEYENNE,7403,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1996,10,,FORCED AIR,2436,3860,2436,2436,LIVING SQFT,2436,3,4.0,808.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,CATHEDRAL/CLERESTORY,WOOD,"Garage, Built-in",616.0,2.0,"Garage, Built-in",,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,359999.0,147.78
1672962,,5.64,245678,,,GRANITE SPRINGS RETREAT,117,1324 KATE CAMERON DR,CHEYENNE,7403,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1998,10,CENTRAL,BASEBOARD,2291,5742,2291,2291,LIVING SQFT,2291,3,3.0,2331.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,OTHER (NOT CLASSIFIED),"Garage, Attached",1120.0,4.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,449625.0,196.26
1672963,,6.17,268765,NO POOL,,GRANITE SPRINGS RETREAT,117,1381 KATE CAMERON DR,CHEYENNE,7403,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1997,10,,FORCED AIR,2280,3240,2280,2280,LIVING SQFT,2280,3,3.0,960.0,FINISHED,,,LOG,METAL,GABLE,LOGS,"Garage, Detached",1200.0,5.0,"Garage, Detached",TLOG HOME,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,,,
1672964,,38.78,1689257,,,,117,1393 KATE CAMERON DR,CHEYENNE,7403,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1994,10,,FORCED AIR,1560,3120,1560,1560,LIVING SQFT,1560,2,3.0,1560.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Basement",660.0,2.0,"Garage, Basement",RANCH,CONVENTIONAL HOUSE,HOUSE,1,LOW,CONVENTIONAL HOUSE,0,Resale,250000.0,160.26
1672965,,38.79,1689692,INDOOR POOL,,,117,1431 KATE CAMERON DR,CHEYENNE,7360,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1998,10,YES,FORCED AIR,2208,4966,2208,2208,LIVING SQFT,2208,3,3.0,2182.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",576.0,2.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,,,
1672966,,6.16,268330,SPA/HOT TUB (ONLY),,GRANITE SPRINGS RETREAT,117,271 LONE TREE CT,CHEYENNE,9005,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1982,10,,BASEBOARD,2387,3527,2387,2387,LIVING SQFT,2387,2,4.0,1140.0,FINISHED,Y,YES,LOG,COMPOSITION SHINGLE,GABLE,LOGS,"Garage, Detached",552.0,2.0,"Garage, Detached",TLOG HOME,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,286901.0,120.19
1672967,,11.0,479160,,,GRANITE SPRINGS RETREAT,117,268 LONE TREE CT,CHEYENNE,9005,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1993,10,,FORCED AIR,3424,6848,3424,3424,LIVING SQFT,3424,2,3.0,3424.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Basement",936.0,4.0,"Garage, Basement",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,,,
1672968,,5.77,251341,NO POOL,,GRANITE SPRINGS RETREAT,117,281 VALLEY VIEW CT,CHEYENNE,7370,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1999,10,,FORCED AIR,1549,2269,1549,1549,LIVING SQFT,1549,2,2.0,,,,,LOG,COMPOSITION SHINGLE,GABLE,LOGS,"Garage, Attached",720.0,3.0,"Garage, Attached",TLOG HOME,CONVENTIONAL HOUSE,HOUSE,2,FAIR,CONVENTIONAL HOUSE,0,Resale,,
1672969,,7.2,313632,NO POOL,,GRANITE SPRINGS RETREAT,117,1345 CURT GOWDY DR,CHEYENNE,9006,H060,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,,RADIANT,1640,3264,1640,1640,LIVING SQFT,1640,3,3.0,1624.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Basement",672.0,2.0,"Garage, Basement",RANCH,MOBILE HOME,MOBILE HOME,1,LOW,MOBILE HOME,0,Resale,349563.0,213.15
1695613,18,0.1492195,6500,NO POOL,13.0,CENTURY WEST,150,5220 BOWIE DR,CHEYENNE,4924,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,YES,FORCED AIR,1956,2876,1956,1956,LIVING SQFT,1956,2,3.0,440.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE/HIP,WOOD,"Garage, Built-in",480.0,2.0,"Garage, Built-in",SPLIT LEVEL,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,354280.0,181.12
1695614,11,0.2307851,10053,NO POOL,11.0,CENTURY WEST,150,5145 KING ARTHUR WAY,CHEYENNE,4907,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,,FORCED AIR,1944,2542,1944,1944,LIVING SQFT,1944,2,3.0,,,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",598.0,2.0,"Garage, Attached",SPLIT LEVEL,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,155530.0,80.01
1695615,16,0.2066116,9000,NO POOL,2.0,THE BLUFFS,150,2325 PLAIN VIEW RD,CHEYENNE,4436,C048,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1990,10,,FORCED AIR,2096,3542,2096,2096,LIVING SQFT,2096,3,4.0,940.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Built-in",506.0,2.0,"Garage, Built-in",,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,Resale,272168.0,129.85
1695616,13,0.1704545,7425,NO POOL,14.0,CENTURY WEST,150,5010 POINT BLF,CHEYENNE,5010,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,,FORCED AIR,1266,2088,1266,1266,LIVING SQFT,1266,2,2.0,366.0,,,,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Attached",456.0,2.0,"Garage, Attached",SPLIT LEVEL,CONVENTIONAL HOUSE,HOUSE,2,FAIR,CONVENTIONAL HOUSE,0,Resale,331067.0,261.51
1695617,6,0.0486685,2120,NO POOL,8.0,BBP ADDITION,150,104 CLOVER CT,CHEYENNE,5000,C030,Rooftop,16856031afb1b236f0d628bb802eac71,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,1980,10,YES,FORCED AIR,984,1840,984,984,LIVING SQFT,984,2,3.0,440.0,,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),"Garage, Attached",416.0,2.0,"Garage, Attached",TOWNHOUSE,MISCELLANEOUS,MISCELLANEOUS,2,LOW,MISCELLANEOUS,0,Resale,252902.0,257.01
1695618,11,0.2066116,9000,NO POOL,2.0,THE BLUFFS,150,2308 PATTISON AVE,CHEYENNE,5012,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1977,10,YES,FORCED AIR,1173,2796,1173,1173,LIVING SQFT,1173,3,3.0,1073.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",550.0,2.0,"Garage, Attached",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,405000.0,345.27
1695619,9,0.1728421,7529,NO POOL,7.0,CENTURY WEST,150,2312 APACHE ST,CHEYENNE,5030,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1976,10,,FORCED AIR,1080,1344,1080,1080,LIVING SQFT,1080,1,1.0,,,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",264.0,1.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,LOW,CONVENTIONAL HOUSE,0,Resale,121848.0,112.82
